Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1989,1,23,1,1419,1230,1742,1552,UA,183,NA,323,322,NA,110,109,SFO,HNL,2398,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,24,2,1850,1850,1936,1935,NW,347,NA,46,45,NA,1,0,MBS,DTW,98,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,10,2,916,916,1106,1040,DL,317,NA,170,144,NA,26,0,CVG,IAH,871,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,28,6,1550,1550,1630,1631,AA,236,NA,40,41,NA,-1,0,MKE,ORD,67,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,2,21,2,1400,1355,1608,1601,UA,578,NA,68,66,NA,7,5,ORD,CMH,296,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,2,12,7,1631,1630,1822,1814,NW,1643,NA,171,164,NA,8,1,DCA,MSP,931,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,2,3,5,2032,2025,2130,2120,DL,1434,NA,58,55,NA,10,7,ATL,CAE,191,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,2,8,3,1251,1251,1352,1354,AA,1484,NA,61,63,NA,-2,0,MAF,DFW,309,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,3,20,1,1554,1555,1649,1701,US,618,NA,55,66,NA,-12,-1,PHL,SYR,228,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,3,21,2,1647,1650,1853,1902,TW,17,NA,306,312,NA,-9,-3,IAD,LAX,2288,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,3,19,7,1816,1816,2003,2000,EA,942,NA,167,164,NA,3,0,SJU,MIA,1045,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,3,23,4,1015,955,1242,1230,CO,515,NA,147,155,NA,12,20,CLE,TPA,927,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,4,7,5,1730,1730,1850,1850,WN,504,NA,80,80,NA,0,0,PHX,LAX,370,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,4,18,2,2043,2045,2229,2221,UA,355,NA,166,156,NA,8,-2,DEN,SEA,1024,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,4,22,6,716,715,1213,1218,AA,254,NA,177,183,NA,-5,1,SNA,DFW,1205,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,5,11,4,1015,1015,1240,1247,UA,989,NA,145,152,NA,-7,0,ORD,IAH,925,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,5,9,2,2,2154,55,2243,PI,1142,NA,53,49,NA,132,128,CLT,LYH,175,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,5,29,1,700,700,922,919,DL,959,NA,82,79,NA,3,0,IND,ATL,432,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,5,25,4,2105,2051,2256,2233,AA,1164,NA,111,102,NA,23,14,RDU,ALB,544,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,6,1,4,1828,1830,1952,1938,US,490,NA,84,68,NA,14,-2,BDL,DCA,313,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,6,26,1,1146,1146,1222,1225,TW,222,NA,36,39,NA,-3,0,TPA,RSW,110,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,6,24,6,1030,1030,1132,1146,HP,1142,NA,62,76,NA,-14,0,LAX,PHX,370,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,6,23,5,654,640,739,720,CO,1071,NA,45,40,NA,19,14,PIT,CLE,105,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,7,20,4,2015,2010,2235,2225,NW,556,NA,80,75,NA,10,5,MSP,GRR,408,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,7,15,6,2005,2005,2245,2253,DL,311,NA,100,108,NA,-8,0,IAH,ATL,689,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,7,26,3,846,845,1352,1348,AA,422,NA,186,183,NA,4,1,RNO,DFW,1345,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,8,31,4,2112,2050,2238,2215,US,541,NA,86,85,NA,23,22,PHL,DTW,453,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,8,3,4,1738,1700,1845,1814,PI,1641,NA,67,74,NA,31,38,JFK,ORF,289,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,8,18,5,1240,1240,1413,1415,DL,1017,NA,93,95,NA,-2,0,IAD,ATL,533,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,8,25,5,940,940,1110,1107,AA,1183,NA,210,207,NA,3,0,DFW,SJC,1438,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,9,19,2,646,645,853,740,US,1634,NA,127,55,NA,73,1,SYR,EWR,194,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,9,30,6,2040,2042,2221,2207,UA,297,NA,161,145,NA,14,-2,DEN,SFO,967,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,9,13,3,1057,1057,1151,1149,EA,789,NA,54,52,NA,2,0,ATL,SAV,215,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,9,13,3,1129,1130,1240,1245,CO,680,NA,71,75,NA,-5,-1,EWR,BUF,282,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,10,1,7,800,800,840,850,WN,401,NA,40,50,NA,-10,0,HOU,SAT,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,10,30,1,1618,1615,1708,1708,UA,1022,NA,50,53,NA,0,3,IAD,PHL,134,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,10,23,1,110,110,600,610,NW,158,NA,170,180,NA,-10,0,SEA,MSP,1399,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,10,29,7,925,925,1157,1203,DL,127,NA,152,158,NA,-6,0,EWR,MCO,938,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,11,14,2,731,715,1016,1017,NW,540,NA,105,122,NA,-1,16,MEM,DCA,762,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,11,30,4,2334,2334,23,15,DL,529,NA,49,41,NA,8,0,ATL,AGS,143,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,11,8,3,2115,2115,2224,2230,AA,480,NA,69,75,NA,-6,0,SNA,SJC,342,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,12,24,7,2230,2235,2300,2302,US,597,NA,90,87,NA,-2,-5,TUS,LAX,451,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,12,25,1,1250,1250,1440,1445,PA (1),2060,NA,110,115,NA,-5,0,MIA,ATL,595,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,12,23,6,1724,1705,1800,1735,DL,1098,NA,36,30,NA,25,19,LBB,AMA,108,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,12,8,5,1228,1213,1317,1301,AA,1153,NA,49,48,NA,16,15,GSP,ATL,153,NA,NA,0,NA,0,NA,NA,NA,NA,NA
