"","wage","lwage","educ","exper","tenure","numdep","expersq","tenursq","educsqr","race","metro","marital.st","gender","business.type","job.type","log.tenure","res","region"
"177",9,2.197225,12,11,5,0,121,25,144,"white","rural","married","female","profserv","profocc",1.79175946922805,0.437214886395303,"northcen"
"178",10,2.302585,14,43,4,0,1849,16,196,"white","rural","married","male","profserv","profocc",1.6094379124341,0.309174952995554,"northcen"
"179",5.77,1.752672,10,44,3,0,1936,9,100,"white","rural","married","male","profserv","profocc",1.38629436111989,-0.00270233381439541,"northcen"
"180",4,1.386294,12,22,11,2,484,121,144,"white","rural","married","female","ndurman","other",2.484906649788,-0.280550467169216,"northcen"
"181",8.75,2.169054,16,3,2,1,9,4,256,"white","rural","married","male","ndurman","profocc",1.09861228866811,0.127582077560792,"northcen"
"182",6.53,1.876407,16,3,2,0,9,4,256,"white","rural","single","female","profserv","profocc",1.09861228866811,0.125695464741097,"northcen"
"183",7.6,2.028148,12,41,11,0,1681,121,144,"white","rural","single","female","profserv","profocc",2.484906649788,0.332097176071411,"northcen"
"184",5,1.609438,14,5,0,0,25,0,196,"white","rural","single","male","trade","other",0,0.187664859450609,"northcen"
"185",5,1.609438,12,14,11,0,196,121,144,"white","rural","single","female","profserv","servocc",2.484906649788,0.0717339872669888,"northcen"
"186",21.86,3.084659,12,24,16,3,576,256,144,"white","rural","married","male","trade","profocc",2.83321334405622,1.13932954978731,"northcen"
"187",8.64,2.156403,12,28,8,0,784,64,144,"white","rural","married","male","ndurman","profocc",2.19722457733622,0.0156959839453541,"northcen"
"188",3.3,1.193922,12,25,8,1,625,64,144,"white","rural","married","male","trade","other",2.19722457733622,-0.536869171136316,"northcen"
"189",4.44,1.490654,12,3,0,0,9,0,144,"white","rural","single","male","trade","profocc",0,0.0211824339909196,"northcen"
"190",4.55,1.515127,12,11,0,0,121,0,144,"white","suburb","married","male","other","other",0,-0.104125965192305,"northcen"
"191",3.5,1.252763,12,7,6,0,49,36,144,"nonwhite","suburb","married","female","other","other",1.94591014905531,-0.196376493039139,"northcen"
"192",6.25,1.832582,16,9,2,1,81,4,256,"white","suburb","married","male","profserv","profocc",1.09861228866811,-0.173207420792749,"northcen"
"193",3.85,1.348073,16,5,0,0,25,0,256,"white","rural","married","male","trade","other",0,-0.26334172015913,"northcen"
"194",6.18,1.821318,14,9,3,0,81,9,196,"white","rural","married","female","profserv","profocc",1.38629436111989,0.0174898484005251,"northcen"
"195",2.91,1.068153,11,1,0,3,1,0,121,"white","rural","single","female","services","profocc",0,0.018527569398892,"northcen"
"196",6.25,1.832582,16,2,1,0,4,1,256,"nonwhite","rural","single","female","trade","profocc",0.693147180559945,0.357057547862283,"northcen"
"197",6.25,1.832582,12,13,0,0,169,0,144,"white","rural","married","female","profserv","clerocc",0,0.366840103138934,"northcen"
"198",9.05,2.202765,12,10,2,3,100,4,144,"white","rural","married","male","construc","profocc",1.09861228866811,0.270039413360042,"northcen"
"199",10,2.302585,17,5,3,0,25,9,289,"white","rural","married","male","other","profocc",1.38629436111989,-0.0233217012199847,"northcen"
"200",11.11,2.407845,12,30,8,0,900,64,144,"white","rural","married","male","trade","profocc",2.19722457733622,0.471377019234804,"northcen"
"201",6.88,1.928619,12,31,19,3,961,361,144,"white","rural","married","male","profserv","servocc",2.99573227355399,0.0872999482888718,"northcen"
"202",8.75,2.169054,16,1,2,0,1,4,256,"nonwhite","rural","single","male","other","profocc",1.09861228866811,0.12012825807197,"northcen"
"203",10,2.302585,8,9,0,0,81,0,64,"white","rural","married","male","construc","other",0,0.756453756882651,"northcen"
"204",3.05,1.115142,12,10,0,2,100,0,144,"white","rural","married","female","trade","other",0,-0.0263611135541214,"northcen"
"205",3,1.098612,12,38,0,0,1444,0,144,"white","suburb","married","female","services","clerocc",0,0.0109918017846867,"northcen"
"206",5.8,1.757858,12,19,6,2,361,36,144,"white","suburb","married","female","ndurman","other",1.94591014905531,0.297049481347454,"northcen"
"207",4.1,1.410987,16,5,0,0,25,0,256,"white","rural","married","female","profserv","profocc",0,-0.330042440353158,"northcen"
"208",8,2.079442,12,26,2,1,676,4,144,"white","rural","married","male","other","other",1.09861228866811,0.151772521523409,"northcen"
"209",6.15,1.816452,12,35,12,0,1225,144,144,"white","rural","single","female","trade","other",2.56494935746154,0.405568267610471,"northcen"
"210",2.7,0.9932518,9,2,0,1,4,0,81,"white","rural","single","female","trade","clerocc",0,0.0970640336551312,"northcen"
"211",2.75,1.011601,13,1,2,1,1,4,169,"white","rural","single","female","profserv","servocc",1.09861228866811,-0.193141560048962,"northcen"
"212",3,1.098612,16,19,10,0,361,100,256,"white","rural","married","female","trade","clerocc",2.39789527279837,-0.708172583172459,"northcen"
"213",3,1.098612,14,3,2,0,9,4,196,"white","rural","single","female","profserv","servocc",1.09861228866811,-0.237664365092236,"northcen"
"214",7.36,1.99606,8,36,24,3,1296,576,64,"white","rural","married","male","other","other",3.2188758248682,0.139278377679698,"northcen"
"215",7.5,2.014903,14,29,24,1,841,576,196,"white","rural","married","male","other","profocc",3.2188758248682,-0.412459433767763,"northcen"
"216",3.5,1.252763,13,1,2,3,1,4,169,"white","rural","single","male","trade","other",1.09861228866811,-0.0480458495065766,"northcen"
"217",8.1,2.091864,12,38,3,1,1444,9,144,"white","rural","married","female","profserv","profocc",1.38629436111989,0.420501945369464,"northcen"
"218",3.75,1.321756,18,1,2,1,1,4,324,"white","rural","single","male","profserv","profocc",1.09861228866811,-0.783709530903397,"northcen"
"219",3.25,1.178655,9,29,0,1,841,0,81,"nonwhite","rural","married","male","other","other",0,-0.490229081335018,"northcen"
"220",5.83,1.763017,8,36,15,0,1296,225,64,"white","suburb","married","female","profserv","clerocc",2.77258872223978,0.287258212367277,"other"
"221",3.5,1.252763,8,4,0,3,16,0,64,"white","rural","single","male","trade","servocc",0,0.189330948276496,"other"
"222",3.33,1.202972,12,45,4,0,2025,16,144,"white","suburb","married","female","trade","other",1.6094379124341,0.100656270527457,"other"
"223",4,1.386294,14,22,3,0,484,9,196,"white","rural","single","female","construc","clerocc",1.38629436111989,-0.456032918733696,"other"
"224",3.5,1.252763,12,20,4,2,400,16,144,"white","suburb","married","female","profserv","clerocc",1.6094379124341,-0.28187475896718,"other"
"225",6.25,1.832582,16,5,0,0,25,0,256,"white","rural","married","male","ndurman","profocc",0,-0.231608691970898,"other"
"226",2.95,1.081805,8,15,2,1,225,4,64,"nonwhite","rural","married","female","ndurman","other",1.09861228866811,-0.330641041678868,"other"
"227",5.71,1.742219,13,10,2,0,100,4,169,"white","rural","married","female","trade","profocc",1.09861228866811,0.136686937539397,"other"
"228",3,1.098612,9,3,0,0,9,0,81,"white","rural","single","female","services","other",0,0.142719704708059,"other"
"229",22.86,3.129389,16,16,7,2,256,49,256,"white","rural","married","male","other","profocc",2.07944154167984,0.65103281489407,"other"
"230",9,2.197225,12,38,1,0,1444,1,144,"white","rural","married","male","profserv","profocc",0.693147180559945,0.250205107171866,"other"
"231",8.33,2.119864,15,33,26,1,1089,676,225,"white","rural","married","male","profserv","profocc",3.29583686600433,-0.289827253383386,"other"
"232",3,1.098612,11,2,0,0,4,0,121,"white","rural","single","male","trade","other",0,-0.157046409772971,"other"
"233",5.75,1.7492,14,6,5,0,36,25,196,"white","rural","married","male","trade","profocc",1.79175946922805,-0.169887644622477,"other"
"234",6.76,1.911023,12,19,3,2,361,9,144,"nonwhite","rural","married","male","ndurman","other",1.38629436111989,0.0697999369913692,"other"
"235",10,2.302585,12,29,0,2,841,0,144,"white","rural","married","male","profserv","clerocc",0,0.523228766482187,"other"
"236",3,1.098612,12,2,0,0,4,0,144,"white","rural","single","male","construc","other",0,-0.454012681355497,"other"
"237",3.5,1.252763,18,3,1,0,9,1,324,"white","rural","single","female","trcommpu","profocc",0.693147180559945,-0.673353555095845,"other"
"238",3.25,1.178655,12,4,0,0,16,0,144,"white","rural","single","male","services","other",0,-0.172452609907816,"other"
"239",4,1.386294,12,10,1,0,100,1,144,"nonwhite","rural","single","female","profserv","clerocc",0.693147180559945,-0.0833091591288365,"other"
"240",2.92,1.071584,12,4,0,1,16,0,144,"white","suburb","single","female","trade","profocc",0,0.0046159082414024,"south"
"241",3.06,1.118415,12,14,10,3,196,100,144,"nonwhite","suburb","single","female","trade","other",2.39789527279837,-0.0537283349722024,"south"
"242",3.2,1.163151,12,15,5,1,225,25,144,"white","suburb","married","female","profserv","profocc",1.79175946922805,-0.477484878418772,"south"
"243",4.75,1.558145,12,19,0,3,361,0,144,"white","suburb","married","male","other","other",0,-0.0677006549900684,"south"
"244",3,1.098612,14,17,0,4,289,0,196,"white","rural","married","female","services","clerocc",0,-0.242479541278505,"south"
"245",18.16,2.899221,16,29,7,1,841,49,256,"white","rural","married","male","ndurman","profocc",2.07944154167984,0.543957612819088,"south"
"246",3.5,1.252763,12,2,0,2,4,0,144,"white","rural","single","female","trcommpu","clerocc",0,0.0904956432963465,"south"
"247",4.11,1.413423,14,5,0,0,25,0,196,"white","suburb","single","male","profserv","profocc",0,-0.254430675563847,"south"
"248",1.96,0.6729445,11,38,3,0,1444,9,121,"nonwhite","suburb","single","female","services","other",1.38629436111989,-0.373766101124164,"south"
"249",4.29,1.456287,12,3,0,0,9,0,144,"white","suburb","single","female","trade","servocc",0,0.661559325124869,"south"
"250",3,1.098612,10,47,0,0,2209,0,100,"white","suburb","single","male","services","servocc",0,0.191713903229131,"south"
"251",6.45,1.86408,12,7,6,0,49,36,144,"white","suburb","married","male","trade","other",1.94591014905531,0.425870684747505,"south"
"252",5.2,1.648659,6,47,13,0,2209,169,36,"nonwhite","rural","married","male","construc","other",2.63905732961526,0.0925005300378666,"south"
"253",4.5,1.504077,13,23,2,0,529,4,169,"nonwhite","rural","single","female","trade","profocc",1.09861228866811,-0.071153492877028,"south"
"254",3.88,1.355835,12,12,3,3,144,9,144,"white","rural","married","male","trade","clerocc",1.38629436111989,-0.230711410454746,"south"
"255",3.45,1.238374,10,11,0,2,121,0,100,"white","rural","single","female","trade","servocc",0,0.283461629612027,"south"
"256",10.91,2.38968,12,25,23,0,625,529,144,"white","rural","single","male","trcommpu","other",3.17805383034795,0.416658969655309,"south"
"257",4.1,1.410987,14,6,0,0,36,0,196,"white","rural","married","female","services","servocc",0,0.241564848508054,"south"
"258",3,1.098612,13,3,1,0,9,1,169,"white","rural","single","male","trade","other",0.693147180559945,-0.288511852849811,"south"
"259",5.9,1.774952,12,14,7,2,196,49,144,"nonwhite","rural","married","male","services","other",2.07944154167984,0.150236509928322,"south"
"260",18,2.890372,18,13,0,0,169,0,324,"white","rural","single","female","profserv","profocc",0,0.897830117025842,"south"
"261",4,1.386294,12,9,0,0,81,0,144,"white","rural","single","male","profserv","profocc",0,-0.388622393509891,"south"
"262",3,1.098612,12,1,0,0,1,0,144,"nonwhite","rural","single","male","services","other",0,-0.0995143807522544,"south"
"263",3.55,1.266948,12,6,0,1,36,0,144,"white","suburb","married","female","other","other",0,-0.0436319311295727,"other"
"264",3,1.098612,12,11,1,2,121,1,144,"white","suburb","married","female","services","servocc",0.693147180559945,0.032550380037295,"other"
"265",8.75,2.169054,12,47,44,0,2209,1936,144,"white","suburb","married","male","other","other",3.80666248977032,0.351077471693974,"other"
"266",2.9,1.064711,8,49,6,1,2401,36,64,"white","suburb","single","female","ndurman","other",1.94591014905531,0.0544816379821774,"other"
"267",6.26,1.83418,13,37,17,0,1369,289,169,"white","rural","married","female","profserv","profocc",2.89037175789616,-0.127263937661279,"other"
"268",3.5,1.252763,13,2,0,0,4,0,169,"white","rural","single","female","trade","profocc",0,-0.0448968825805653,"other"
"269",4.6,1.526056,14,7,0,0,49,0,196,"white","rural","married","female","trade","clerocc",0,0.166430213590988,"other"
"270",6,1.791759,12,22,8,2,484,64,144,"white","rural","single","male","trade","profocc",2.19722457733622,-0.125229864987161,"other"
"271",2.89,1.061257,10,8,0,1,64,0,100,"white","rural","single","female","other","other",0,-0.298442589690134,"other"
"272",5.58,1.719189,16,1,1,0,1,1,256,"white","rural","married","male","profserv","clerocc",0.693147180559945,-0.158843750578091,"other"
"273",4,1.386294,12,43,6,0,1849,36,144,"white","suburb","married","female","trcommpu","other",1.94591014905531,0.035045623528204,"other"
"274",6,1.791759,16,2,2,0,4,4,256,"white","rural","single","male","ndurman","other",1.09861228866811,-0.0559484057493463,"other"
"275",4.5,1.504077,12,2,1,2,4,1,144,"white","rural","single","female","construc","other",0.693147180559945,0.193821873309951,"other"
"276",2.92,1.071584,14,1,3,0,1,9,196,"white","rural","single","male","profserv","clerocc",1.38629436111989,-0.681529849342053,"other"
"277",4.33,1.465567,18,1,0,0,1,0,324,"white","rural","single","male","trade","profocc",0,-0.434036931072639,"other"
"278",18.89,2.938633,17,26,20,2,676,400,289,"white","rural","married","male","profserv","profocc",3.04452243772342,0.376928928965854,"other"
"279",4.28,1.453953,13,1,1,2,1,1,169,"white","rural","single","female","trade","profocc",0.693147180559945,0.164668351756453,"other"
"280",4.57,1.519513,14,37,7,0,1369,49,196,"white","rural","married","female","services","servocc",2.07944154167984,0.0293053101223517,"other"
"281",6.25,1.832582,15,12,4,2,144,16,225,"white","rural","married","female","profserv","profocc",1.6094379124341,-0.111034094720866,"other"
"282",2.95,1.081805,14,41,23,0,1681,529,196,"nonwhite","suburb","married","male","profserv","profocc",3.17805383034795,-0.924569906011671,"northcen"
"283",8.75,2.169054,12,24,1,0,576,1,144,"white","rural","single","male","ndurman","profocc",0.693147180559945,0.207781693555097,"northcen"
"284",8.5,2.140066,8,38,26,0,1444,676,64,"white","rural","single","male","other","other",3.29583686600433,0.282250413079703,"northcen"
"285",3.75,1.321756,12,18,0,4,324,0,144,"white","rural","married","female","profserv","clerocc",0,-0.0915133512967503,"northcen"
"286",3.15,1.147403,12,26,1,0,676,1,144,"white","rural","married","male","trade","profocc",0.693147180559945,-0.668015942390185,"northcen"
"287",5,1.609438,8,45,2,0,2025,4,64,"white","suburb","single","male","ndurman","other",1.09861228866811,0.349779067732642,"northcen"
"288",6.46,1.865629,12,27,0,3,729,0,144,"white","suburb","married","male","other","other",0,0.237772285264429,"northcen"
"289",2,0.6931472,9,2,0,3,4,0,81,"white","suburb","single","male","trade","servocc",0,-0.145736408927544,"northcen"
"290",4.79,1.56653,12,41,8,0,1681,64,144,"white","rural","married","male","trade","profocc",2.19722457733622,-0.225415502513685,"northcen"
"291",5.78,1.754404,16,11,4,2,121,16,256,"white","rural","married","male","ndurman","profocc",1.6094379124341,-0.457341915151884,"northcen"
"292",3.18,1.156881,12,5,0,0,25,0,144,"white","rural","married","female","profserv","servocc",0,-0.0579408815510143,"northcen"
"293",4.68,1.543298,16,3,1,0,9,1,256,"white","rural","single","female","profserv","profocc",0.693147180559945,-0.169553195464052,"northcen"
"294",4.1,1.410987,12,3,2,0,9,4,144,"white","rural","single","female","profserv","servocc",1.09861228866811,0.186483023543241,"northcen"
"295",2.91,1.068153,12,4,0,0,16,0,144,"white","rural","married","male","trade","other",0,-0.27367744163569,"south"
"296",6,1.791759,13,21,13,4,441,169,169,"white","suburb","married","male","ndurman","other",2.63905732961526,-0.0072988524037089,"south"
"297",3.6,1.280934,10,34,26,0,1156,676,100,"white","suburb","married","female","ndurman","other",3.29583686600433,-0.226686922794655,"south"
"298",3.95,1.373716,6,49,6,6,2401,36,36,"white","suburb","married","male","other","other",1.94591014905531,0.148928873367797,"south"
"299",7,1.94591,12,6,5,1,36,25,144,"nonwhite","suburb","married","male","construc","other",1.79175946922805,0.342402941914601,"south"
"300",3,1.098612,12,26,9,0,676,81,144,"white","suburb","married","female","services","servocc",2.30258509299405,-0.196961358170948,"south"
"301",6.08,1.805005,16,9,0,0,81,0,256,"white","suburb","single","male","services","profocc",0,0.104206921805774,"south"
"302",8.63,2.155245,12,23,9,1,529,81,144,"white","suburb","married","male","ndurman","other",2.30258509299405,0.363400497644108,"south"
"303",3,1.098612,8,33,2,0,1089,4,64,"white","suburb","married","male","ndurman","other",1.09861228866811,-0.418086751816289,"south"
"304",3.75,1.321756,12,5,2,1,25,4,144,"white","suburb","married","female","profserv","clerocc",1.09861228866811,0.0489481440491673,"south"
"305",2.9,1.064711,6,49,7,0,2401,49,36,"white","suburb","married","male","other","servocc",2.07944154167984,-0.247003710439323,"south"
"306",3,1.098612,4,48,0,0,2304,0,16,"nonwhite","suburb","married","male","ndurman","other",0,0.0185006834855071,"south"
"307",6.25,1.832582,11,35,31,0,1225,961,121,"white","rural","married","male","trade","other",3.46573590279973,0.0714588239553765,"south"
"308",3.5,1.252763,11,23,2,2,529,4,121,"nonwhite","suburb","single","female","ndurman","other",1.09861228866811,-0.0203216805912818,"south"
"309",3,1.098612,7,26,1,3,676,1,49,"white","suburb","single","female","trade","servocc",0.693147180559945,0.235968504661148,"south"
"310",3.24,1.175573,12,16,0,2,256,0,144,"white","rural","married","female","trade","clerocc",0,-0.0899225322943264,"south"
"311",8.02,2.081939,18,23,3,1,529,9,324,"white","rural","married","female","profserv","profocc",1.38629436111989,-0.127308774288754,"south"
"312",3.33,1.202972,12,36,8,1,1296,64,144,"white","rural","married","female","profserv","clerocc",2.19722457733622,-0.424480902369443,"south"
"313",5.25,1.658228,16,4,0,0,16,0,256,"white","rural","single","male","ndurman","profocc",0,-0.281089835532188,"south"
"314",6.25,1.832582,12,10,0,3,100,0,144,"white","rural","married","male","construc","other",0,0.201855267116305,"south"
"315",3.5,1.252763,14,18,2,1,324,4,196,"white","suburb","married","male","trade","profocc",1.09861228866811,-0.528311169579647,"northcen"
"316",2.95,1.081805,12,3,1,1,9,1,144,"white","suburb","single","male","trade","other",0.693147180559945,-0.0798494496641604,"northcen"
"317",3,1.098612,10,7,0,2,49,0,100,"white","suburb","married","female","profserv","servocc",0,0.122339142888882,"northcen"
"318",4.69,1.545433,10,7,7,0,49,49,100,"white","suburb","single","male","other","other",2.07944154167984,-0.0703891620377137,"northcen"
"319",3.73,1.316408,9,33,2,1,1089,4,81,"white","suburb","single","female","other","other",1.09861228866811,0.00219468139169338,"northcen"
"320",4,1.386294,10,34,12,0,1156,144,100,"white","suburb","married","male","other","other",2.56494935746154,-0.417319363134006,"northcen"
"321",4,1.386294,12,8,0,2,64,0,144,"white","suburb","married","female","trade","profocc",0,0.219650330738287,"northcen"
"322",2.9,1.064711,12,17,1,2,289,1,144,"white","suburb","married","female","ndurman","other",0.693147180559945,-0.266711621208147,"northcen"
"323",3.05,1.115142,12,2,0,1,4,0,144,"white","suburb","single","female","profserv","servocc",0,0.186269120582317,"northcen"
"324",5.05,1.619388,10,5,0,0,25,0,100,"white","rural","single","female","profserv","clerocc",0,0.415854204288551,"northcen"
"325",13.95,2.635479,16,41,16,0,1681,256,256,"white","rural","married","male","ndurman","profocc",2.83321334405622,0.33994595670564,"northcen"
"326",18.16,2.899221,16,35,28,1,1225,784,256,"white","rural","married","male","ndurman","profocc",3.36729582998647,0.482735745822933,"northcen"
"327",6.25,1.832582,16,11,4,0,121,16,256,"white","rural","single","male","services","profocc",1.6094379124341,-0.190562142775486,"northcen"
"328",5.25,1.658228,12,4,0,0,16,0,144,"nonwhite","rural","single","male","ndurman","clerocc",0,0.155596222324552,"northcen"
"329",4.79,1.56653,12,12,3,3,144,9,144,"white","rural","married","female","profserv","profocc",1.38629436111989,-0.096025159126091,"northcen"
"330",3.35,1.20896,7,35,0,1,1225,0,49,"white","rural","single","female","other","other",0,-0.08754810796649,"south"
"331",3,1.098612,8,33,0,1,1089,0,64,"white","rural","married","male","trcommpu","other",0,-0.416675388537295,"south"
"332",8.43,2.131797,16,8,6,0,64,36,256,"white","rural","married","male","ndurman","profocc",1.94591014905531,-0.11663654052423,"south"
"333",5.7,1.740466,16,2,0,0,4,0,256,"white","rural","single","male","trade","profocc",0,0.0390477743555952,"south"
"334",11.98,2.483238,18,8,10,2,64,100,324,"white","rural","married","male","trcommpu","profocc",2.39789527279837,0.0927155076659791,"south"
"335",3.5,1.252763,13,29,1,0,841,1,169,"white","suburb","married","female","profserv","clerocc",0.693147180559945,-0.234293845595141,"south"
"336",4.24,1.444563,10,14,5,1,196,25,100,"nonwhite","suburb","married","male","trade","other",1.79175946922805,0.0558286131164845,"south"
"337",7,1.94591,16,26,3,1,676,9,256,"white","rural","married","female","profserv","profocc",1.38629436111989,-0.0919733998573604,"south"
"338",6,1.791759,14,11,3,2,121,9,196,"white","rural","married","female","profserv","clerocc",1.38629436111989,0.155715184295253,"south"
"339",12.22,2.503074,16,10,2,0,100,4,256,"white","rural","single","male","profserv","profocc",1.09861228866811,0.358104148375916,"south"
"340",4.5,1.504077,12,13,0,0,169,0,144,"white","rural","married","male","trade","other",0,0.0119018205679778,"south"
"341",3,1.098612,9,23,20,2,529,400,81,"white","suburb","married","female","ndurman","other",3.04452243772342,-0.365199289400036,"south"
"342",2.9,1.064711,11,1,2,2,1,4,121,"nonwhite","suburb","single","male","trade","servocc",1.09861228866811,0.0794298082886109,"south"
"343",15,2.70805,11,35,31,0,1225,961,121,"white","suburb","married","male","ndurman","other",3.46573590279973,0.89997893039438,"south"
"344",4,1.386294,12,5,2,0,25,4,144,"white","suburb","married","male","construc","other",1.09861228866811,-0.185564638563367,"south"
"345",5.25,1.658228,11,13,11,2,169,121,121,"white","suburb","married","male","ndurman","other",2.484906649788,-0.0190037346046659,"south"
"346",4,1.386294,12,22,3,3,484,9,144,"white","suburb","married","male","ndurman","other",1.38629436111989,-0.270105378933312,"south"
"347",3.3,1.193922,12,21,9,2,441,81,144,"white","suburb","married","female","trade","profocc",2.30258509299405,-0.322088884035594,"south"
"348",5.05,1.619388,12,19,0,3,361,0,144,"white","suburb","married","female","profserv","clerocc",0,0.318109544347935,"south"
"349",3.58,1.275363,12,13,0,0,169,0,144,"white","rural","single","male","services","other",0,-0.171885892184203,"south"
"350",5,1.609438,14,15,5,2,225,25,196,"white","suburb","married","male","trade","profocc",1.79175946922805,-0.191856210460137,"south"
"351",4.57,1.519513,14,3,0,0,9,0,196,"white","suburb","married","male","profserv","profocc",0,-0.154526130041596,"south"
